"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAN489_006";"intermediate building";"";
"TraceParts.PartVersion";"1.2.13";"";
"SUPPLIER";"PHOENIX CONTACT Deutschland GmbH";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_BAA351_017";"gray";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"90-22092021-037292";"";
"ATT_0173_1_02_BAF016_006";"1.8";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"End cover";"";
"TraceParts.InstanceId";"90-22092021-037292ADWTHE2FRDB8QU9UKW2ZXYBJN";"";
"ATT_0173_1_02_AAO663_003";"4017918090425";"";
"ATT_0173_1_02_AAF040_007";"0.00203";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"D-UK  4/10";"";
"REFERENCE";"3003020";"";
"ATT_0173_1_02_BAA020_010";"42.5";"";
"ATT_0173_1_02_AAN483_003";"enveloping body cuboid";"";
"ATT_0173_1_02_BAB577_008";"35.9";"";
"ATT_0173_1_02_ABH280_001";"1.8";"";
"ATT_0173_1_02_BAC818_011";"plugged-in";"";
