"Symbol";"Value";"Unit";
"ATT_0173_1_02_BAB838_007";"screwable";"";
"ATT_0173_1_02_AAN489_006";"Assembly";"";
"TraceParts.PartVersion";"1.2.2";"";
"SUPPLIER";"Phoenix Contact";"";
"ATT_0173_1_02_BAB664_017";"Polyamide (PA)";"";
"ATT_0173_1_02_BAA351_017";"gray";"";
"TraceParts.PartNumber";"90-04102021-057461";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"ATT_0173_1_02_BAG640_011";"Top-hat rail TH35";"";
"ATT_0173_1_02_BAF016_006";"9.5";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"End bracket";"";
"TraceParts.InstanceId";"90-04102021-057461BT9K123ICET1R8NKZXD7P6INT";"";
"ATT_0173_1_02_AAO663_003";"4017918017323";"";
"ATT_0173_1_02_AAF040_007";"0.0071";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"E/UK";"";
"REFERENCE";"1201442";"";
"ATT_0173_1_02_BAA020_010";"50.5";"";
"ATT_0173_1_02_AAN483_003";"enveloping body cuboid";"";
"ATT_0173_1_02_BAB577_008";"35.3";"";
