Tag,Type,Part / Model,Description,Mfr,Rating,Location,Mounting,Terminals,Used In,Qty,Spare,Notes
CPU1,CPU,,Tiny Form Factor Computer,Lenovo,,CPU Cabinet,DIN Rail w. Printed Mount,,,,,
F1,EMI Filter,,,,,Main Cabinet,DIN Rail w. Printed Mount,1-4,,,,
FAN1,Fan,,,,24 VDC,Filter Box,,,,,,
FAN2,Fan,,,,24 VDC,Filter Box,,,,,,
FAN3,Fan,,,,,Filter Box,,,,,,
FAN4,Fan,,,,,Filter Box,,,,,,
HS1,Inductive Sensor,,Y1 Home Switch,,,Static Platform,8040 w. Printed Mount,,,,,
HS2,Inductive Sensor,,Y2 Home Switch,,,Static Platform,8040 w. Printed Mount,,,,,
HS3,Inductive Sensor,,X Home Switch,,,Y Platform,8040 w. Printed Mount,,,,,
HS4,Inductive Sensor,,Z Home Switch,,,X Platform,Printed Mount,,,,,
IM1,Integrated Stepper,JSS57P2N,Y1 Integrated Stepper,Generic,,Y Platform,,"Dir,Pul,Ena,Pend,Alm:[+/-]
5V,Tx,Gnd_SIG,Rx,NC; GND_PWR,+VDC",,,,
IM2,Integrated Stepper,JSS57P2N,Y2 Integrated Stepper,Generic,,Y Platform,,,,,,
IM3,Integrated Stepper,JSS57P2N,X Integrated Stepper,Generic,,X Platform,,,,,,
J1,Connector,DB25-F to TB,Stepper and Sensor Signals,,,Main Cabinet Breakout,Panel Mount,"1-25,GND",,,,
J10,Connector,PTB-2,Sensor Power,,,Static Platform,Panel Mount,1-2,,,,
J11,Connector,PTB-8,"Integrated Stepper Power, Z Stepper Motor",,,Static Platform,Panel Mount,1-8,,,,
J12,Connector,PTB-8,Estop Loop,,,Static Platform,Panel Mount,1-8,,,,
J13,Connector,PTB-4,Estop Loop,,,Static Platform,Panel Mount,1-4,,,,
J14,Connector,DB25-F to TB,,,,Static Platform,Panel Mount,"1-25,GND",,,,
J15,Connector,PTB-4,"Sensor Power, Y1, Y2 Integrated Stepper Power",,,Static Platform,Panel Mount,1-4,,,,
J16,Connector,PTB-8,"X Integrated Stepper Power, Z Stepper Motor",,,Static Platform,Panel Mount,1-8,,,,
J17,Connector,PTB-4,Estop Loop,,,MPG,Panel Mount,1-4,,,,
J19,Connector,DB25-F to TB,,,,Y Platform,Panel Mount,"1-25,GND",,,,
J2,Connector,PTB-2,Sensor Power,,,Main Cabinet Breakout,Panel Mount,1-2,,,,
J20,Connector,PTB-4,"Sensor Power, Y1, Y2 Integrated Stepper Power",,,Y Platform,Panel Mount,1-4,,,,
J24,Connector,DB9-F to TB,,,,Y Platform,Panel Mount,1-9,,,,
J25,Connector,PTB-2,Sensor Power,,,Y Platform,Panel Mount,1-2,,,,
J28,Connector,DB9-F to TB,,,,X Platform,Panel Mount,1-9,,,,
