Wire,Label From,Wire From,Label To,Wire To,Zone,Location,Signal,From Device,From Mesa TB,From Terminal,From Type,To Device,"To
Mesa TB",To Terminal,To Type,AWG,Flex,Length,Colour,Notes
W-001,W-001 · AC_L1_IN ⇒TB1:5,⇒TB1:5,W-001 · AC_L1_IN P0:L1⇒,P0:L1⇒,240V Power,Main Cabinet,ac_l1_in,P0,,L1,Other,TB1,,5,Ferrule,10,FALSE,,🟥 Red,
W-002,W-002 · AC_L2_IN ⇒TB1:3,⇒TB1:3,W-002 · AC_L2_IN P0:L2⇒,P0:L2⇒,240V Power,Main Cabinet,AC_L2_IN,P0,,L2,Other,TB1,,3,Ferrule,10,FALSE,,⬛️ Black,
W-003,W-003 · AC_L1_IN ⇒Q1:1,⇒Q1:1,W-003 · AC_L1_IN TB1:6⇒,TB1:6⇒,240V Power,Main Cabinet,ac_l1_in,TB1,,6,Ferrule,Q1,,1,Ferrule,10,FALSE,,🟥 Red,
W-004,W-004 · AC_L2_IN ⇒Q1:3,⇒Q1:3,W-004 · AC_L2_IN TB1:4⇒,TB1:4⇒,240V Power,Main Cabinet,AC_L2_IN,TB1,,4,Ferrule,Q1,,3,Ferrule,10,FALSE,,⬛️ Black,
W-005,W-005 · AC_L1_FUSED ⇒F1:1,⇒F1:1,W-005 · AC_L1_FUSED Q1:2⇒,Q1:2⇒,240V Power,Main Cabinet,ac_l1_fused,Q1,,2,Ferrule,F1,,1,Ring,10,FALSE,,🟥 Red,
W-006,W-006 · AC_L2_FUSED ⇒F1:2,⇒F1:2,W-006 · AC_L2_FUSED Q1:4⇒,Q1:4⇒,240V Power,Main Cabinet,AC_l2_fused,Q1,,4,Ferrule,F1,,2,Ring,10,FALSE,,⬛️ Black,
W-007,W-007 · AC_L1_FILTERED ⇒TB2:1,⇒TB2:1,W-007 · AC_L1_FILTERED F1:3⇒,F1:3⇒,240V Power,Main Cabinet,AC_l1_filtered,F1,,3,Ring,TB2,,1,Ferrule,10,FALSE,,🟥 Red,
W-008,W-008 · AC_L2_FILTERED ⇒TB2:11,⇒TB2:11,W-008 · AC_L2_FILTERED F1:4⇒,F1:4⇒,240V Power,Main Cabinet,AC_l2_filtered,F1,,4,Ring,TB2,,11,Ferrule,10,FALSE,,⬛️ Black,
W-009,W-009 · AC_L1_FILTERED ⇒PS1:L,⇒PS1:L,W-009 · AC_L1_FILTERED TB2:10⇒,TB2:10⇒,240V Power,Main Cabinet,AC_l1_filtered,TB2,,10,Ferrule,PS1,,L,Ferrule,14,FALSE,,🟥 Red,
W-010,W-010 · AC_L2_FILTERED ⇒PS1:N,⇒PS1:N,W-010 · AC_L2_FILTERED TB2:20⇒,TB2:20⇒,240V Power,Main Cabinet,AC_l2_filtered,TB2,,20,Ferrule,PS1,,N,Ferrule,14,FALSE,,⬛️ Black,
